ARTH 301-01 (F),ARTH 301-01 (F)  LEC Methods of Art History,TR 11:20am-12:35pm
ARTH 303-01 (S),ARTH 303-01 (S)  SEM Museums:History and Practice,T 1:10pm-3:50pm
ARTH 305-01 (F),ARTH 305-01 (F)  SEM Queer Art & Archives,M 7:00pm-9:40pm
ARTH 308-T1 (S),ARTH 308-T1 (S)  TUT African Art / Western Museum,TBA
ARTH 31-01 (W),ARTH 31-01 (W)  HON Senior Thesis: Art History,TBA
ARTH 314-01 (F),ARTH 314-01 (F)  SEM Mughal Power and Art in India,MR 2:35pm-3:50pm
ARTH 327-01 (F),ARTH 327-01 (F)  SEM Acquiring Art,MR 1:10pm-2:25pm
ARTH 33-01 (W),ARTH 33-01 (W)  IND Honors Ind Study: Art History,TBA
ARTH 332-01 (F),ARTH 332-01 (F)  SEM Abstraction in Action,MW 11:00am-12:15pm
ARTH 337-01 (S),ARTH 337-01 (S)  SEM Visual Politics,W 7:00pm-9:40pm
ARTH 338-01 (S),ARTH 338-01 (S)  LEC Romantic Revolution,MW 11:00am-12:15pm
ARTH 342-T1 (S),ARTH 342-T1 (S)  TUT Indian Art and Architecture,TBA
ARTH 344-01 (F),ARTH 344-01 (F)  SEM Pacific-New England,MR 1:10pm-2:25pm
ARTH 358-01 (S),ARTH 358-01 (S)  LEC LatinxInstall&SiteSpecificArt,W 7:00pm-9:40pm
ARTH 367-01 (F),ARTH 367-01 (F)  SEM Documentary Fictions,TF 2:35pm-3:50pm
ARTH 405-01 (F),ARTH 405-01 (F)  SEM Architectural Criticism,W 1:10pm-3:50pm
ARTH 416-01 (S),ARTH 416-01 (S)  SEM The Art of Minor Resistance,TR 8:30am-9:45am
ARTH 424-01 (S),ARTH 424-01 (S)  SEM Heaven's Gate,F 1:10pm-3:50pm
ARTH 434-01 (S),ARTH 434-01 (S)  SEM Renaissance Time,W 1:10pm-3:50pm
ARTH 440-01 (F),ARTH 440-01 (F)  SEM ContExhibitions LA & LatinAmer,W 1:10pm-3:50pm
ARTH 472-01 (F),ARTH 472-01 (F)  SEM Timelines,R 1:10pm-3:50pm
ARTH 494-01 (S),ARTH 494-01 (S)  HON Thesis Seminar,TBA
ARTH 497-01 (F),ARTH 497-01 (F)  IND Independent Study: Art History,TBA
ARTH 498-01 (S),ARTH 498-01 (S)  IND Independent Study: Art History,TBA
ARTH 501-01 (S),ARTH 501-01 (S)  SEM Museums:History and Practice,T 1:10pm-3:50pm
ARTH 504-01 (F),ARTH 504-01 (F)  SEM Proseminar in Rsrch and Method,T 1:10pm-3:50pm
ARTH 506-01 (S),ARTH 506-01 (S)  SEM An Expository Writing Workshop,M 1:10pm-3:50pm
ARTH 507-01 (S),ARTH 507-01 (S)  SEM Object Workshop, 
ARTH 508-01 (S),ARTH 508-01 (S)  SEM Art and Conservation,MR 6:30pm-8:30pm
ARTH 509-01 (S),ARTH 509-01 (S)  SEM Graduate Symposium,TBA
ARTH 512-01 (F),ARTH 512-01 (F)  SEM Why Look at Animals?,W 2:00pm-4:40pm
ARTH 519-01 (S),ARTH 519-01 (S)  SEM Architectural Theory,W 1:10pm-3:50pm
ARTH 521-01 (S),ARTH 521-01 (S)  SEM Islam in Indian Painting,R 1:10pm-3:50pm
ARTH 523-01 (S),ARTH 523-01 (S)  SEM Heaven's Gate,F 1:10pm-3:50pm
ARTH 527-01 (F),ARTH 527-01 (F)  SEM Acquiring Art,MR 1:10pm-2:25pm
ARTH 536-01 (S),ARTH 536-01 (S)  SEM Prendergrast in WCMA,W 10:00am-12:40pm
ARTH 540-01 (F),ARTH 540-01 (F)  SEM Portraits in Prison,M 1:10pm-3:50pm
ARTH 543-01 (F),ARTH 543-01 (F)  SEM Color; High and Low,M 10:00am-12:40pm
ARTH 546-01 (F),ARTH 546-01 (F)  SEM Print and Textile,R 10:00am-12:40pm
ARTH 548-01 (S),ARTH 548-01 (S)  SEM Landscape; Theory; Ideology,R 10:00am-12:40pm
ARTH 549-01 (F),ARTH 549-01 (F)  SEM Art; Biology; Beauty,T 10:00am-12:40pm
ARTH 550-01 (S),ARTH 550-01 (S)  SEM Connoisseurship,M 10:00am-12:40pm
ARTH 563-01 (S),ARTH 563-01 (S)  SEM Contemprary Curtorial Workshop,TBA
ARTH 586-01 (F),ARTH 586-01 (F)  LEC Japanese Visual Pop Culture,MR 2:35pm-3:50pm
ARTH 595-01 (F),ARTH 595-01 (F)  IND Private Tutorial, 
ARTH 596-01 (S),ARTH 596-01 (S)  IND Private Tutorial, 
ARTH 597-01 (F),ARTH 597-01 (F)  IND Ind Study: Grad Art, 
ARTH 598-01 (S),ARTH 598-01 (S)  IND Ind Study: Grad Art, 
ARTH 99-01 (W),ARTH 99-01 (W)  IND Indep Study: Art History,TBA
ARTS 100-01 (F),ARTS 100-01 (F)  STU Drawing I,M 7:00pm-9:40pm
ARTS 100-01 (S),ARTS 100-01 (S)  STU Drawing I,T 9:00am-11:40am
ARTS 100-02 (F),ARTS 100-02 (F)  STU Drawing I,W 1:10pm-3:50pm
ARTS 100-03 (F),ARTS 100-03 (F)  STU Drawing I,M 1:10pm-3:50pm
ARTS 100-03 (S),ARTS 100-03 (S)  STU Drawing I,W 10:00am-12:50pm
ARTS 101-01 (F),ARTS 101-01 (F)  SEM Revolutionary Film and Writing,T 1:10pm-3:50pm
ARTS 118-01 (F),ARTS 118-01 (F)  STU Video Introduction and Theory,W 10:00am-12:50pm
ARTS 120-01 (S),ARTS 120-01 (S)  SEM Intro to Performance Art,TR 9:55am-11:10am
ARTS 122-01 (F),ARTS 122-01 (F)  STU Intro to Digital Photography,M 9:00am-11:50am
ARTS 132-01 (F),ARTS 132-01 (F)  STU Beginning Sculpture,R 1:10pm-3:50pm
ARTS 200-01 (F),ARTS 200-01 (F)  STU Project: Costume-Design,R 1:10pm-3:50pm
ARTS 201-01 (S),ARTS 201-01 (S)  STU Worldbuilding for Theatre,MW 11:00am-12:50pm
ARTS 220-01 (S),ARTS 220-01 (S)  STU Architectural Design I,F 1:10pm-3:50pm
ARTS 224-01 (F),ARTS 224-01 (F)  STU Interdisciplinary Approaches,M 7:00pm-9:40pm
ARTS 226-01 (F),ARTS 226-01 (F)  STU Intermediate Photography,M 1:10pm-3:50pm
ARTS 236-01 (S),ARTS 236-01 (S)  STU LINOCUT!,M 7:00pm-9:40pm
ARTS 241-01 (F),ARTS 241-01 (F)  STU Painting,T 1:10pm-3:50pm
ARTS 241-01 (S),ARTS 241-01 (S)  STU Introduction to Oil Painting,M 1:10pm-3:50pm
ARTS 271-01 (F),ARTS 271-01 (F)  SEM Sonic Art,M 7:00pm-9:40pm
ARTS 274-01 (S),ARTS 274-01 (S)  LEC Chinese Calligraphy,W 1:10pm-3:50pm
ARTS 275-01 (S),ARTS 275-01 (S)  STU Intermediate Sculpture,R 1:10pm-3:50pm
ARTS 31-01 (W),ARTS 31-01 (W)  IND Sr Studio:Ind Prjct Art Studio,TBA
ARTS 319-01 (F),ARTS 319-01 (F)  STU Junior Seminar,W 1:10pm-3:50pm
ARTS 323-T1 (F),ARTS 323-T1 (F)  TUT Colour Function,R 9:55am-12:35pm
ARTS 329-01 (F),ARTS 329-01 (F)  STU Architectural Design II,F 1:10pm-3:50pm
ARTS 338-01 (S),ARTS 338-01 (S)  STU Persona,TR 11:20am-12:35pm
